"Date","IsHoliday","Temperature","Fuel_Price","MarkDown1","MarkDown2","MarkDown3","MarkDown4","MarkDown5","CPI","Unemployment","Weekly_Sales"
"01/04/2011","FALSE",47.9423619112165,3.60244561165707,NA,NA,NA,NA,NA,170.335927834802,8.10777905794646,43458991.19
"01/06/2012","FALSE",72.5669656812776,3.74826537546721,7304.49561671764,NA,NA,NA,3091.38930343187,175.292541078457,7.3950122324159,48281649.72
"01/07/2011","FALSE",78.2016342545206,3.67805731832139,NA,NA,NA,NA,NA,171.075954569396,8.05711088365745,47578519.5
"01/10/2010","FALSE",69.3869982964225,2.73306405451448,NA,NA,NA,NA,NA,168.004935472947,8.4339601362862,42239875.87
"02/03/2012","FALSE",44.8172140468227,3.69536822742475,16660.7228361204,NA,NA,NA,3535.80469230769,174.420717289632,7.48165585284281,46861034.97
"02/04/2010","FALSE",52.5878874194642,2.82545269582909,NA,NA,NA,NA,NA,167.377836393218,8.44109189555782,50423831.26
"02/07/2010","FALSE",76.5559547480288,2.79319026396983,NA,NA,NA,NA,NA,167.66326377086,8.37380082276311,48917484.5
"02/09/2011","FALSE",78.6693489318413,3.65374059003052,NA,NA,NA,NA,NA,171.635449551102,8.04224313326551,45376623.27
"02/12/2011","FALSE",45.6143587174349,3.396167000668,NA,NA,3589.6237241149,NA,18683.2728456914,173.024562734536,7.77400601202405,49390556.49
"03/02/2012","FALSE",44.2119180382936,3.45356835740679,38318.2270171313,3001.69073899899,150.67290896876,NA,6241.2308599261,174.166440134397,7.48878434665771,46085608.09
"03/06/2011","FALSE",73.1291478439425,3.83999828884326,NA,NA,NA,NA,NA,170.883052298049,8.09724127310062,48771994.18
"03/08/2012","FALSE",79.9443174924166,3.56896730704415,NA,NA,NA,NA,3495.15541624537,175.157356153859,7.23220390967307,47485899.56
"03/09/2010","FALSE",76.0635338345865,2.7409039644566,NA,NA,NA,NA,NA,167.784050878401,8.38060526315789,47194257.61
"03/12/2010","FALSE",41.1961512377077,2.89260257714479,NA,NA,NA,NA,NA,168.193867869108,8.42988402848423,49909027.88
"04/02/2011","FALSE",29.8075837320574,3.13641558441558,NA,NA,NA,NA,NA,168.89454993257,8.23705570745044,46153111.12
"04/03/2011","FALSE",43.982755240027,3.39430662609872,NA,NA,NA,NA,NA,169.618031841007,8.24273191345504,46980603.74
"04/05/2012","FALSE",63.9975532994924,3.90825414551607,11729.2603384095,NA,NA,NA,3206.54682571912,175.22642400176,7.39906734348562,47124197.93
"04/06/2010","FALSE",73.0148006872852,2.80972783505155,NA,NA,NA,NA,NA,167.560075991924,8.4481,50188543.12
"04/11/2011","FALSE",48.5477555856466,3.52275660121869,NA,NA,NA,NA,NA,172.730139881144,7.76687576167908,48655544.3
"05/02/2010","FALSE",33.2779424703892,2.71786937394247,NA,NA,NA,NA,NA,167.398405288562,8.57673096446701,49750740.5
"05/03/2010","FALSE",42.3739979619565,2.73181589673913,NA,NA,NA,NA,NA,167.727350951664,8.57268851902174,46871470.3
"05/08/2011","FALSE",80.9423455104131,3.76089279617617,NA,NA,NA,NA,NA,171.311741890987,8.04962922499146,48015466.97
"05/10/2012","FALSE",65.456811155914,3.84843548387097,NA,NA,NA,NA,3618.93850806452,175.998253502083,6.94214079301075,47566639.31
"05/11/2010","FALSE",52.0409385665529,2.84471160409556,NA,NA,NA,NA,NA,168.134065151126,8.43509829351536,45781981.89
"06/01/2012","FALSE",40.4955230406996,3.30132223343424,5043.3817457114,22538.6453784057,118.898997645476,NA,5215.86608476287,173.817584911302,7.47860780356542,44955421.95
"06/04/2012","FALSE",56.407153871941,3.96375159235669,8367.19424069728,NA,NA,NA,5082.89193764666,174.910693354475,7.39902514247402,53502315.87
"06/05/2011","FALSE",57.6930564895763,3.98000504371217,NA,NA,NA,NA,NA,171.018134184432,8.09797646267653,46861958.29
"06/07/2012","FALSE",79.770989530564,3.46376561972307,6801.99974670719,NA,66.9069706180344,NA,6597.27112462006,175.044606922391,7.22984464707869,51253021.88
"06/08/2010","FALSE",79.5524896836314,2.77503885832187,NA,NA,NA,NA,NA,167.84721797359,8.38329883081155,48204999.12
"07/01/2011","FALSE",34.7952423208191,3.09136450511945,NA,NA,NA,NA,NA,167.987248416655,8.24657337883959,42775787.77
"07/05/2010","FALSE",63.8169815825375,2.93173533424284,NA,NA,NA,NA,NA,167.197816983151,8.45266950886767,48503243.52
"07/09/2012","TRUE",77.6136075522589,3.84164160485502,8963.795954147,NA,NA,NA,3545.75877275792,175.627506765509,7.22879467296022,48330059.31
"07/10/2011","FALSE",62.4823022312373,3.52178059499662,NA,NA,NA,NA,NA,172.325699344253,7.76912068965517,47211688.36
"08/04/2011","FALSE",55.0558330494037,3.69499795570698,NA,NA,NA,NA,NA,170.787973164872,8.103533560477,45887466.8
"08/06/2012","FALSE",71.3594087837838,3.6895097972973,7423.79223986487,NA,NA,NA,5781.17981418919,174.959649672432,7.40151621621622,49651171.78
"08/07/2011","FALSE",79.5448277038553,3.63084476287956,NA,NA,NA,NA,NA,171.085553593518,8.05598635278062,47859263.78
"08/10/2010","FALSE",61.2752282016349,2.75911171662125,NA,NA,NA,NA,NA,168.004922342643,8.43336410081744,45102974.23
"09/03/2012","FALSE",47.0161903160726,3.75170880968393,8333.25912911903,NA,NA,NA,4738.32177202421,174.610303489106,7.48658742434432,47480454.11
"09/04/2010","FALSE",58.0985259234158,2.85242290748899,NA,NA,NA,NA,NA,167.265976992714,8.44253100643849,47365290.44
"09/07/2010","FALSE",78.5775508095074,2.78261143644506,NA,NA,NA,NA,NA,167.428189623424,8.38282397519807,47899529.37
"09/09/2011","TRUE",72.9311866125761,3.68495503718729,NA,NA,NA,NA,NA,171.7053648,8.04760243407708,46763227.53
"09/12/2011","FALSE",37.9649534883721,3.36314186046512,NA,NA,338.353205980066,NA,9730.4143089701,173.292182698538,7.76889235880399,55561147.7
"10/02/2012","TRUE",39.2160379873376,3.50103632122626,11289.908413862,NA,74.3402099300233,NA,6060.77264911696,174.214458649217,7.48015061646118,50009407.92
"10/06/2011","FALSE",74.4125512995896,3.80357865937073,NA,NA,NA,NA,NA,170.78352081751,8.1043023255814,47669734.66
"10/08/2012","FALSE",81.1641122759554,3.63385796415286,10906.3186371322,NA,NA,NA,3622.30535339871,175.378772141326,7.22467636117687,47403451.04
"10/09/2010","TRUE",71.9292271024855,2.72090091930541,NA,NA,NA,NA,NA,167.827716984712,8.38356043581886,45634397.84
"10/12/2010","FALSE",38.408459972863,2.97937788331072,NA,NA,NA,NA,NA,168.00527346384,8.42766417910448,55666770.39
"11/02/2011","TRUE",31.4457045609258,3.16365656909462,NA,NA,NA,NA,NA,169.106781933254,8.23342205582029,47336192.79
"11/03/2011","FALSE",46.4534345479082,3.537745951417,NA,NA,NA,NA,NA,170.085588786876,8.24317105263158,44627319.4
"11/05/2012","FALSE",64.3304776320215,3.87021190716448,10012.6661991255,NA,NA,NA,2984.68922300706,175.033193856139,7.40799260006727,46925878.99
"11/06/2010","FALSE",73.9361705053283,2.78835819869371,NA,NA,NA,NA,NA,167.640200829804,8.46131660364386,47826546.72
"11/11/2011","FALSE",48.7510961214165,3.49079021922428,11445.650529511,9651.87640809443,NA,NA,4952.2093693086,172.839243612681,7.77135008431703,48474224.75
